# F:\code\data\20210920_vc_rugose_1mMTCA_gordon\20210920_vc_rugose_1mMTCA_gordon_spot_list.txt generated by flexImaging 5.1.52.0_1664_120 on 2021-10-05 12:37:43
# X-pos Y-pos spot-name region
-13962 9832 R00X019Y012 vc_rugose_1
-12962 9832 R00X020Y012 vc_rugose_1
-11962 9832 R00X021Y012 vc_rugose_1
-10962 9832 R00X022Y012 vc_rugose_1
-20962 8832 R00X012Y013 vc_rugose_1
-19962 8832 R00X013Y013 vc_rugose_1
-18962 8832 R00X014Y013 vc_rugose_1
-17962 8832 R00X015Y013 vc_rugose_1
-16962 8832 R00X016Y013 vc_rugose_1
-15962 8832 R00X017Y013 vc_rugose_1
-14962 8832 R00X018Y013 vc_rugose_1
-13962 8832 R00X019Y013 vc_rugose_1
-12962 8832 R00X020Y013 vc_rugose_1
-11962 8832 R00X021Y013 vc_rugose_1
-10962 8832 R00X022Y013 vc_rugose_1
-20962 7832 R00X012Y014 vc_rugose_1
-19962 7832 R00X013Y014 vc_rugose_1
-18962 7832 R00X014Y014 vc_rugose_1
-17962 7832 R00X015Y014 vc_rugose_1
-16962 7832 R00X016Y014 vc_rugose_1
-15962 7832 R00X017Y014 vc_rugose_1
-14962 7832 R00X018Y014 vc_rugose_1
-13962 7832 R00X019Y014 vc_rugose_1
-12962 7832 R00X020Y014 vc_rugose_1
-11962 7832 R00X021Y014 vc_rugose_1
-10962 7832 R00X022Y014 vc_rugose_1
-20962 6832 R00X012Y015 vc_rugose_1
-19962 6832 R00X013Y015 vc_rugose_1
-18962 6832 R00X014Y015 vc_rugose_1
-17962 6832 R00X015Y015 vc_rugose_1
-16962 6832 R00X016Y015 vc_rugose_1
-15962 6832 R00X017Y015 vc_rugose_1
-14962 6832 R00X018Y015 vc_rugose_1
-13962 6832 R00X019Y015 vc_rugose_1
-12962 6832 R00X020Y015 vc_rugose_1
-11962 6832 R00X021Y015 vc_rugose_1
-10962 6832 R00X022Y015 vc_rugose_1
-20962 5832 R00X012Y016 vc_rugose_1
-19962 5832 R00X013Y016 vc_rugose_1
-18962 5832 R00X014Y016 vc_rugose_1
-17962 5832 R00X015Y016 vc_rugose_1
-16962 5832 R00X016Y016 vc_rugose_1
-15962 5832 R00X017Y016 vc_rugose_1
-14962 5832 R00X018Y016 vc_rugose_1
-13962 5832 R00X019Y016 vc_rugose_1
-12962 5832 R00X020Y016 vc_rugose_1
-11962 5832 R00X021Y016 vc_rugose_1
-10962 5832 R00X022Y016 vc_rugose_1
-20962 4832 R00X012Y017 vc_rugose_1
-19962 4832 R00X013Y017 vc_rugose_1
-18962 4832 R00X014Y017 vc_rugose_1
-17962 4832 R00X015Y017 vc_rugose_1
-16962 4832 R00X016Y017 vc_rugose_1
-15962 4832 R00X017Y017 vc_rugose_1
-14962 4832 R00X018Y017 vc_rugose_1
-13962 4832 R00X019Y017 vc_rugose_1
-12962 4832 R00X020Y017 vc_rugose_1
-11962 4832 R00X021Y017 vc_rugose_1
-10962 4832 R00X022Y017 vc_rugose_1
-20962 3832 R00X012Y018 vc_rugose_1
-19962 3832 R00X013Y018 vc_rugose_1
-18962 3832 R00X014Y018 vc_rugose_1
-17962 3832 R00X015Y018 vc_rugose_1
-16962 3832 R00X016Y018 vc_rugose_1
-15962 3832 R00X017Y018 vc_rugose_1
-14962 3832 R00X018Y018 vc_rugose_1
-13962 3832 R00X019Y018 vc_rugose_1
-12962 3832 R00X020Y018 vc_rugose_1
-11962 3832 R00X021Y018 vc_rugose_1
-10962 3832 R00X022Y018 vc_rugose_1
-19962 2832 R00X013Y019 vc_rugose_1
-18962 2832 R00X014Y019 vc_rugose_1
-17962 2832 R00X015Y019 vc_rugose_1
-16962 2832 R00X016Y019 vc_rugose_1
-15962 2832 R00X017Y019 vc_rugose_1
-14962 2832 R00X018Y019 vc_rugose_1
-13962 2832 R00X019Y019 vc_rugose_1
-12962 2832 R00X020Y019 vc_rugose_1
-11962 2832 R00X021Y019 vc_rugose_1
-10962 2832 R00X022Y019 vc_rugose_1
-19962 1832 R00X013Y020 vc_rugose_1
-18962 1832 R00X014Y020 vc_rugose_1
-17962 1832 R00X015Y020 vc_rugose_1
-16962 1832 R00X016Y020 vc_rugose_1
-15962 1832 R00X017Y020 vc_rugose_1
-14962 1832 R00X018Y020 vc_rugose_1
-13962 1832 R00X019Y020 vc_rugose_1
-12962 1832 R00X020Y020 vc_rugose_1
-11962 1832 R00X021Y020 vc_rugose_1
-10962 1832 R00X022Y020 vc_rugose_1
-19962 832 R00X013Y021 vc_rugose_1
-18962 832 R00X014Y021 vc_rugose_1
-17962 832 R00X015Y021 vc_rugose_1
-16962 832 R00X016Y021 vc_rugose_1
-15962 832 R00X017Y021 vc_rugose_1
-14962 832 R00X018Y021 vc_rugose_1
-13962 832 R00X019Y021 vc_rugose_1
-12962 832 R00X020Y021 vc_rugose_1
-11962 832 R00X021Y021 vc_rugose_1
-10962 832 R00X022Y021 vc_rugose_1
-19962 -168 R00X013Y022 vc_rugose_1
-18962 -168 R00X014Y022 vc_rugose_1
-17962 -168 R00X015Y022 vc_rugose_1
-16962 -168 R00X016Y022 vc_rugose_1
-15962 -168 R00X017Y022 vc_rugose_1
-14962 -168 R00X018Y022 vc_rugose_1
-13962 -168 R00X019Y022 vc_rugose_1
-12962 -168 R00X020Y022 vc_rugose_1
-11962 -168 R00X021Y022 vc_rugose_1
-10962 -168 R00X022Y022 vc_rugose_1
-3962 10832 R01X029Y011 vc_rugose_2
-2962 10832 R01X030Y011 vc_rugose_2
-1962 10832 R01X031Y011 vc_rugose_2
-962 10832 R01X032Y011 vc_rugose_2
38 10832 R01X033Y011 vc_rugose_2
1038 10832 R01X034Y011 vc_rugose_2
2038 10832 R01X035Y011 vc_rugose_2
3038 10832 R01X036Y011 vc_rugose_2
4038 10832 R01X037Y011 vc_rugose_2
5038 10832 R01X038Y011 vc_rugose_2
6038 10832 R01X039Y011 vc_rugose_2
-3962 9832 R01X029Y012 vc_rugose_2
-2962 9832 R01X030Y012 vc_rugose_2
-1962 9832 R01X031Y012 vc_rugose_2
-962 9832 R01X032Y012 vc_rugose_2
38 9832 R01X033Y012 vc_rugose_2
1038 9832 R01X034Y012 vc_rugose_2
2038 9832 R01X035Y012 vc_rugose_2
3038 9832 R01X036Y012 vc_rugose_2
4038 9832 R01X037Y012 vc_rugose_2
5038 9832 R01X038Y012 vc_rugose_2
6038 9832 R01X039Y012 vc_rugose_2
-3962 8832 R01X029Y013 vc_rugose_2
-2962 8832 R01X030Y013 vc_rugose_2
-1962 8832 R01X031Y013 vc_rugose_2
-962 8832 R01X032Y013 vc_rugose_2
38 8832 R01X033Y013 vc_rugose_2
1038 8832 R01X034Y013 vc_rugose_2
2038 8832 R01X035Y013 vc_rugose_2
3038 8832 R01X036Y013 vc_rugose_2
4038 8832 R01X037Y013 vc_rugose_2
5038 8832 R01X038Y013 vc_rugose_2
6038 8832 R01X039Y013 vc_rugose_2
-3962 7832 R01X029Y014 vc_rugose_2
-2962 7832 R01X030Y014 vc_rugose_2
-1962 7832 R01X031Y014 vc_rugose_2
-962 7832 R01X032Y014 vc_rugose_2
38 7832 R01X033Y014 vc_rugose_2
1038 7832 R01X034Y014 vc_rugose_2
2038 7832 R01X035Y014 vc_rugose_2
3038 7832 R01X036Y014 vc_rugose_2
4038 7832 R01X037Y014 vc_rugose_2
5038 7832 R01X038Y014 vc_rugose_2
6038 7832 R01X039Y014 vc_rugose_2
-3962 6832 R01X029Y015 vc_rugose_2
-2962 6832 R01X030Y015 vc_rugose_2
-1962 6832 R01X031Y015 vc_rugose_2
-962 6832 R01X032Y015 vc_rugose_2
38 6832 R01X033Y015 vc_rugose_2
1038 6832 R01X034Y015 vc_rugose_2
2038 6832 R01X035Y015 vc_rugose_2
3038 6832 R01X036Y015 vc_rugose_2
4038 6832 R01X037Y015 vc_rugose_2
5038 6832 R01X038Y015 vc_rugose_2
6038 6832 R01X039Y015 vc_rugose_2
-3962 5832 R01X029Y016 vc_rugose_2
-2962 5832 R01X030Y016 vc_rugose_2
-1962 5832 R01X031Y016 vc_rugose_2
-962 5832 R01X032Y016 vc_rugose_2
38 5832 R01X033Y016 vc_rugose_2
1038 5832 R01X034Y016 vc_rugose_2
2038 5832 R01X035Y016 vc_rugose_2
3038 5832 R01X036Y016 vc_rugose_2
4038 5832 R01X037Y016 vc_rugose_2
5038 5832 R01X038Y016 vc_rugose_2
6038 5832 R01X039Y016 vc_rugose_2
-3962 4832 R01X029Y017 vc_rugose_2
-2962 4832 R01X030Y017 vc_rugose_2
-1962 4832 R01X031Y017 vc_rugose_2
-962 4832 R01X032Y017 vc_rugose_2
38 4832 R01X033Y017 vc_rugose_2
1038 4832 R01X034Y017 vc_rugose_2
2038 4832 R01X035Y017 vc_rugose_2
3038 4832 R01X036Y017 vc_rugose_2
4038 4832 R01X037Y017 vc_rugose_2
5038 4832 R01X038Y017 vc_rugose_2
6038 4832 R01X039Y017 vc_rugose_2
-3962 3832 R01X029Y018 vc_rugose_2
-2962 3832 R01X030Y018 vc_rugose_2
-1962 3832 R01X031Y018 vc_rugose_2
-962 3832 R01X032Y018 vc_rugose_2
38 3832 R01X033Y018 vc_rugose_2
1038 3832 R01X034Y018 vc_rugose_2
2038 3832 R01X035Y018 vc_rugose_2
3038 3832 R01X036Y018 vc_rugose_2
4038 3832 R01X037Y018 vc_rugose_2
5038 3832 R01X038Y018 vc_rugose_2
6038 3832 R01X039Y018 vc_rugose_2
-3962 2832 R01X029Y019 vc_rugose_2
-2962 2832 R01X030Y019 vc_rugose_2
-1962 2832 R01X031Y019 vc_rugose_2
-962 2832 R01X032Y019 vc_rugose_2
38 2832 R01X033Y019 vc_rugose_2
1038 2832 R01X034Y019 vc_rugose_2
2038 2832 R01X035Y019 vc_rugose_2
3038 2832 R01X036Y019 vc_rugose_2
4038 2832 R01X037Y019 vc_rugose_2
5038 2832 R01X038Y019 vc_rugose_2
6038 2832 R01X039Y019 vc_rugose_2
-3962 1832 R01X029Y020 vc_rugose_2
-2962 1832 R01X030Y020 vc_rugose_2
-1962 1832 R01X031Y020 vc_rugose_2
-962 1832 R01X032Y020 vc_rugose_2
38 1832 R01X033Y020 vc_rugose_2
1038 1832 R01X034Y020 vc_rugose_2
2038 1832 R01X035Y020 vc_rugose_2
3038 1832 R01X036Y020 vc_rugose_2
4038 1832 R01X037Y020 vc_rugose_2
5038 1832 R01X038Y020 vc_rugose_2
6038 1832 R01X039Y020 vc_rugose_2
-3962 832 R01X029Y021 vc_rugose_2
-2962 832 R01X030Y021 vc_rugose_2
-1962 832 R01X031Y021 vc_rugose_2
-962 832 R01X032Y021 vc_rugose_2
38 832 R01X033Y021 vc_rugose_2
1038 832 R01X034Y021 vc_rugose_2
2038 832 R01X035Y021 vc_rugose_2
3038 832 R01X036Y021 vc_rugose_2
4038 832 R01X037Y021 vc_rugose_2
5038 832 R01X038Y021 vc_rugose_2
6038 832 R01X039Y021 vc_rugose_2
-13962 -9168 R02X019Y031 agar
-12962 -9168 R02X020Y031 agar
-11962 -9168 R02X021Y031 agar
-10962 -9168 R02X022Y031 agar
-9962 -9168 R02X023Y031 agar
-13962 -10168 R02X019Y032 agar
-12962 -10168 R02X020Y032 agar
-11962 -10168 R02X021Y032 agar
-10962 -10168 R02X022Y032 agar
-9962 -10168 R02X023Y032 agar
-13962 -11168 R02X019Y033 agar
-12962 -11168 R02X020Y033 agar
-11962 -11168 R02X021Y033 agar
-10962 -11168 R02X022Y033 agar
-9962 -11168 R02X023Y033 agar
-13962 -12168 R02X019Y034 agar
-12962 -12168 R02X020Y034 agar
-11962 -12168 R02X021Y034 agar
-10962 -12168 R02X022Y034 agar
-9962 -12168 R02X023Y034 agar
-7962 -8168 R03X025Y030 agar2
-6962 -8168 R03X026Y030 agar2
-5962 -8168 R03X027Y030 agar2
-4962 -8168 R03X028Y030 agar2
-3962 -8168 R03X029Y030 agar2
-7962 -9168 R03X025Y031 agar2
-6962 -9168 R03X026Y031 agar2
-5962 -9168 R03X027Y031 agar2
-4962 -9168 R03X028Y031 agar2
-3962 -9168 R03X029Y031 agar2
-7962 -10168 R03X025Y032 agar2
-6962 -10168 R03X026Y032 agar2
-5962 -10168 R03X027Y032 agar2
-4962 -10168 R03X028Y032 agar2
-3962 -10168 R03X029Y032 agar2
-7962 -11168 R03X025Y033 agar2
-6962 -11168 R03X026Y033 agar2
-5962 -11168 R03X027Y033 agar2
-4962 -11168 R03X028Y033 agar2
-3962 -11168 R03X029Y033 agar2
-7962 -12168 R03X025Y034 agar2
-6962 -12168 R03X026Y034 agar2
-5962 -12168 R03X027Y034 agar2
-4962 -12168 R03X028Y034 agar2
-3962 -12168 R03X029Y034 agar2
