# F:\code\data\20210921_vc_rugose_tims_gordon\20210921_vc_rugose_tims_gordon_spot_list.txt generated by flexImaging 5.1.52.0_1664_120 on 2021-10-05 12:37:55
# X-pos Y-pos spot-name region
-21964 6854 R00X010Y015 vc_rugose_1
-20964 6854 R00X011Y015 vc_rugose_1
-19964 6854 R00X012Y015 vc_rugose_1
-18964 6854 R00X013Y015 vc_rugose_1
-17964 6854 R00X014Y015 vc_rugose_1
-16964 6854 R00X015Y015 vc_rugose_1
-15964 6854 R00X016Y015 vc_rugose_1
-14964 6854 R00X017Y015 vc_rugose_1
-13964 6854 R00X018Y015 vc_rugose_1
-12964 6854 R00X019Y015 vc_rugose_1
-11964 6854 R00X020Y015 vc_rugose_1
-21964 5854 R00X010Y016 vc_rugose_1
-20964 5854 R00X011Y016 vc_rugose_1
-19964 5854 R00X012Y016 vc_rugose_1
-18964 5854 R00X013Y016 vc_rugose_1
-17964 5854 R00X014Y016 vc_rugose_1
-16964 5854 R00X015Y016 vc_rugose_1
-15964 5854 R00X016Y016 vc_rugose_1
-14964 5854 R00X017Y016 vc_rugose_1
-13964 5854 R00X018Y016 vc_rugose_1
-12964 5854 R00X019Y016 vc_rugose_1
-11964 5854 R00X020Y016 vc_rugose_1
-21964 4854 R00X010Y017 vc_rugose_1
-20964 4854 R00X011Y017 vc_rugose_1
-19964 4854 R00X012Y017 vc_rugose_1
-18964 4854 R00X013Y017 vc_rugose_1
-17964 4854 R00X014Y017 vc_rugose_1
-16964 4854 R00X015Y017 vc_rugose_1
-15964 4854 R00X016Y017 vc_rugose_1
-14964 4854 R00X017Y017 vc_rugose_1
-13964 4854 R00X018Y017 vc_rugose_1
-12964 4854 R00X019Y017 vc_rugose_1
-11964 4854 R00X020Y017 vc_rugose_1
-21964 3854 R00X010Y018 vc_rugose_1
-20964 3854 R00X011Y018 vc_rugose_1
-19964 3854 R00X012Y018 vc_rugose_1
-18964 3854 R00X013Y018 vc_rugose_1
-17964 3854 R00X014Y018 vc_rugose_1
-16964 3854 R00X015Y018 vc_rugose_1
-15964 3854 R00X016Y018 vc_rugose_1
-14964 3854 R00X017Y018 vc_rugose_1
-13964 3854 R00X018Y018 vc_rugose_1
-12964 3854 R00X019Y018 vc_rugose_1
-11964 3854 R00X020Y018 vc_rugose_1
-21964 2854 R00X010Y019 vc_rugose_1
-20964 2854 R00X011Y019 vc_rugose_1
-19964 2854 R00X012Y019 vc_rugose_1
-18964 2854 R00X013Y019 vc_rugose_1
-17964 2854 R00X014Y019 vc_rugose_1
-16964 2854 R00X015Y019 vc_rugose_1
-15964 2854 R00X016Y019 vc_rugose_1
-14964 2854 R00X017Y019 vc_rugose_1
-13964 2854 R00X018Y019 vc_rugose_1
-12964 2854 R00X019Y019 vc_rugose_1
-11964 2854 R00X020Y019 vc_rugose_1
-21964 1854 R00X010Y020 vc_rugose_1
-20964 1854 R00X011Y020 vc_rugose_1
-19964 1854 R00X012Y020 vc_rugose_1
-18964 1854 R00X013Y020 vc_rugose_1
-17964 1854 R00X014Y020 vc_rugose_1
-16964 1854 R00X015Y020 vc_rugose_1
-15964 1854 R00X016Y020 vc_rugose_1
-14964 1854 R00X017Y020 vc_rugose_1
-13964 1854 R00X018Y020 vc_rugose_1
-12964 1854 R00X019Y020 vc_rugose_1
-11964 1854 R00X020Y020 vc_rugose_1
-21964 854 R00X010Y021 vc_rugose_1
-20964 854 R00X011Y021 vc_rugose_1
-19964 854 R00X012Y021 vc_rugose_1
-18964 854 R00X013Y021 vc_rugose_1
-17964 854 R00X014Y021 vc_rugose_1
-16964 854 R00X015Y021 vc_rugose_1
-15964 854 R00X016Y021 vc_rugose_1
-14964 854 R00X017Y021 vc_rugose_1
-13964 854 R00X018Y021 vc_rugose_1
-12964 854 R00X019Y021 vc_rugose_1
-11964 854 R00X020Y021 vc_rugose_1
-21964 -146 R00X010Y022 vc_rugose_1
-20964 -146 R00X011Y022 vc_rugose_1
-19964 -146 R00X012Y022 vc_rugose_1
-18964 -146 R00X013Y022 vc_rugose_1
-17964 -146 R00X014Y022 vc_rugose_1
-16964 -146 R00X015Y022 vc_rugose_1
-15964 -146 R00X016Y022 vc_rugose_1
-14964 -146 R00X017Y022 vc_rugose_1
-13964 -146 R00X018Y022 vc_rugose_1
-12964 -146 R00X019Y022 vc_rugose_1
-11964 -146 R00X020Y022 vc_rugose_1
-21964 -1146 R00X010Y023 vc_rugose_1
-20964 -1146 R00X011Y023 vc_rugose_1
-19964 -1146 R00X012Y023 vc_rugose_1
-18964 -1146 R00X013Y023 vc_rugose_1
-17964 -1146 R00X014Y023 vc_rugose_1
-16964 -1146 R00X015Y023 vc_rugose_1
-15964 -1146 R00X016Y023 vc_rugose_1
-14964 -1146 R00X017Y023 vc_rugose_1
-13964 -1146 R00X018Y023 vc_rugose_1
-12964 -1146 R00X019Y023 vc_rugose_1
-11964 -1146 R00X020Y023 vc_rugose_1
-21964 -2146 R00X010Y024 vc_rugose_1
-20964 -2146 R00X011Y024 vc_rugose_1
-19964 -2146 R00X012Y024 vc_rugose_1
-18964 -2146 R00X013Y024 vc_rugose_1
-17964 -2146 R00X014Y024 vc_rugose_1
-16964 -2146 R00X015Y024 vc_rugose_1
-15964 -2146 R00X016Y024 vc_rugose_1
-14964 -2146 R00X017Y024 vc_rugose_1
-13964 -2146 R00X018Y024 vc_rugose_1
-12964 -2146 R00X019Y024 vc_rugose_1
-11964 -2146 R00X020Y024 vc_rugose_1
-13964 -3146 R00X018Y025 vc_rugose_1
-12964 -3146 R00X019Y025 vc_rugose_1
-11964 -3146 R00X020Y025 vc_rugose_1
-964 4854 R01X031Y017 vc_rugose_2
36 4854 R01X032Y017 vc_rugose_2
1036 4854 R01X033Y017 vc_rugose_2
2036 4854 R01X034Y017 vc_rugose_2
3036 4854 R01X035Y017 vc_rugose_2
4036 4854 R01X036Y017 vc_rugose_2
5036 4854 R01X037Y017 vc_rugose_2
-2964 3854 R01X029Y018 vc_rugose_2
-1964 3854 R01X030Y018 vc_rugose_2
-964 3854 R01X031Y018 vc_rugose_2
36 3854 R01X032Y018 vc_rugose_2
1036 3854 R01X033Y018 vc_rugose_2
2036 3854 R01X034Y018 vc_rugose_2
3036 3854 R01X035Y018 vc_rugose_2
4036 3854 R01X036Y018 vc_rugose_2
5036 3854 R01X037Y018 vc_rugose_2
-2964 2854 R01X029Y019 vc_rugose_2
-1964 2854 R01X030Y019 vc_rugose_2
-964 2854 R01X031Y019 vc_rugose_2
36 2854 R01X032Y019 vc_rugose_2
1036 2854 R01X033Y019 vc_rugose_2
2036 2854 R01X034Y019 vc_rugose_2
3036 2854 R01X035Y019 vc_rugose_2
4036 2854 R01X036Y019 vc_rugose_2
5036 2854 R01X037Y019 vc_rugose_2
-2964 1854 R01X029Y020 vc_rugose_2
-1964 1854 R01X030Y020 vc_rugose_2
-964 1854 R01X031Y020 vc_rugose_2
36 1854 R01X032Y020 vc_rugose_2
1036 1854 R01X033Y020 vc_rugose_2
2036 1854 R01X034Y020 vc_rugose_2
3036 1854 R01X035Y020 vc_rugose_2
4036 1854 R01X036Y020 vc_rugose_2
5036 1854 R01X037Y020 vc_rugose_2
-2964 854 R01X029Y021 vc_rugose_2
-1964 854 R01X030Y021 vc_rugose_2
-964 854 R01X031Y021 vc_rugose_2
36 854 R01X032Y021 vc_rugose_2
1036 854 R01X033Y021 vc_rugose_2
2036 854 R01X034Y021 vc_rugose_2
3036 854 R01X035Y021 vc_rugose_2
4036 854 R01X036Y021 vc_rugose_2
5036 854 R01X037Y021 vc_rugose_2
-2964 -146 R01X029Y022 vc_rugose_2
-1964 -146 R01X030Y022 vc_rugose_2
-964 -146 R01X031Y022 vc_rugose_2
36 -146 R01X032Y022 vc_rugose_2
1036 -146 R01X033Y022 vc_rugose_2
2036 -146 R01X034Y022 vc_rugose_2
3036 -146 R01X035Y022 vc_rugose_2
4036 -146 R01X036Y022 vc_rugose_2
5036 -146 R01X037Y022 vc_rugose_2
-2964 -1146 R01X029Y023 vc_rugose_2
-1964 -1146 R01X030Y023 vc_rugose_2
-964 -1146 R01X031Y023 vc_rugose_2
36 -1146 R01X032Y023 vc_rugose_2
1036 -1146 R01X033Y023 vc_rugose_2
2036 -1146 R01X034Y023 vc_rugose_2
3036 -1146 R01X035Y023 vc_rugose_2
4036 -1146 R01X036Y023 vc_rugose_2
5036 -1146 R01X037Y023 vc_rugose_2
-2964 -2146 R01X029Y024 vc_rugose_2
-1964 -2146 R01X030Y024 vc_rugose_2
-964 -2146 R01X031Y024 vc_rugose_2
36 -2146 R01X032Y024 vc_rugose_2
1036 -2146 R01X033Y024 vc_rugose_2
2036 -2146 R01X034Y024 vc_rugose_2
3036 -2146 R01X035Y024 vc_rugose_2
4036 -2146 R01X036Y024 vc_rugose_2
5036 -2146 R01X037Y024 vc_rugose_2
-2964 -3146 R01X029Y025 vc_rugose_2
-1964 -3146 R01X030Y025 vc_rugose_2
-964 -3146 R01X031Y025 vc_rugose_2
36 -3146 R01X032Y025 vc_rugose_2
1036 -3146 R01X033Y025 vc_rugose_2
2036 -3146 R01X034Y025 vc_rugose_2
3036 -3146 R01X035Y025 vc_rugose_2
4036 -3146 R01X036Y025 vc_rugose_2
5036 -3146 R01X037Y025 vc_rugose_2
6036 -3146 R01X038Y025 vc_rugose_2
-2964 -4146 R01X029Y026 vc_rugose_2
-1964 -4146 R01X030Y026 vc_rugose_2
-964 -4146 R01X031Y026 vc_rugose_2
-15964 -11146 R02X016Y033 agar_1
-14964 -11146 R02X017Y033 agar_1
-13964 -11146 R02X018Y033 agar_1
-12964 -11146 R02X019Y033 agar_1
-15964 -12146 R02X016Y034 agar_1
-14964 -12146 R02X017Y034 agar_1
-13964 -12146 R02X018Y034 agar_1
-12964 -12146 R02X019Y034 agar_1
-15964 -13146 R02X016Y035 agar_1
-14964 -13146 R02X017Y035 agar_1
-13964 -13146 R02X018Y035 agar_1
-12964 -13146 R02X019Y035 agar_1
-15964 -14146 R02X016Y036 agar_1
-14964 -14146 R02X017Y036 agar_1
-13964 -14146 R02X018Y036 agar_1
-12964 -14146 R02X019Y036 agar_1
-15964 -15146 R02X016Y037 agar_1
-14964 -15146 R02X017Y037 agar_1
-13964 -15146 R02X018Y037 agar_1
-12964 -15146 R02X019Y037 agar_1
-9964 -10146 R03X022Y032 agar_2
-8964 -10146 R03X023Y032 agar_2
-7964 -10146 R03X024Y032 agar_2
-6964 -10146 R03X025Y032 agar_2
-9964 -11146 R03X022Y033 agar_2
